usuarioId,criadoEm
user119,2026-06-16T22:02:39.571Z
user120,2026-06-17T12:39:37.756Z
user121,2026-06-17T16:02:11.126Z
user122,2026-06-17T19:36:54.491Z
user123,2026-06-17T20:17:23.572Z
user124,2026-06-17T20:21:58.671Z
user125,2026-06-17T20:33:13.242Z
user126,2026-06-17T20:36:54.821Z
user127,2026-06-17T20:53:37.813Z
user128,2026-06-17T21:15:44.580Z
user129,2026-06-17T21:32:40.425Z
user130,2026-06-18T00:34:42.422Z
user131,2026-06-18T00:36:45.483Z
user132,2026-06-18T01:03:07.211Z
user133,2026-06-18T01:16:29.879Z
user134,2026-06-18T02:06:53.607Z
user135,2026-06-18T10:17:40.246Z
user136,2026-06-18T13:39:23.260Z
user137,2026-06-18T16:04:57.419Z
user138,2026-06-18T16:53:17.726Z
user139,2026-06-18T18:09:21.877Z
user140,2026-06-18T20:19:21.957Z
user141,2026-06-18T20:53:10.294Z
user142,2026-06-18T22:19:22.318Z
user143,2026-06-19T01:10:32.168Z
user144,2026-06-19T02:08:28.268Z
user145,2026-06-19T03:43:47.037Z
user146,2026-06-19T12:26:32.130Z
user147,2026-06-19T13:01:11.056Z
user148,2026-06-19T17:51:34.913Z
user149,2026-06-19T17:57:12.430Z
user150,2026-06-19T19:49:41.373Z
user151,2026-06-19T19:53:01.626Z
user152,2026-06-19T20:16:20.752Z
user153,2026-06-19T20:17:57.210Z
user154,2026-06-19T20:28:44.592Z
user155,2026-06-19T20:32:01.348Z
user156,2026-06-19T20:38:10.961Z
user157,2026-06-19T20:47:21.685Z
user158,2026-06-19T21:59:55.704Z
user159,2026-06-19T22:10:58.701Z
user160,2026-06-19T22:14:12.430Z
user161,2026-06-19T22:52:13.657Z
user162,2026-06-19T23:10:49.205Z
user163,2026-06-19T23:53:48.505Z
user164,2026-06-19T23:58:45.802Z
user165,2026-06-20T00:14:03.034Z
user166,2026-06-20T00:18:53.999Z
user167,2026-06-20T00:26:08.790Z
user168,2026-06-20T01:17:14.002Z
user169,2026-06-20T04:10:23.516Z
user170,2026-06-20T04:54:48.274Z
user171,2026-06-20T14:08:25.628Z
user172,2026-06-20T14:44:16.935Z
user173,2026-06-20T14:57:30.694Z
user174,2026-06-20T18:11:44.886Z
user175,2026-06-21T14:11:31.860Z
user176,2026-06-22T12:36:01.773Z
user177,2026-06-22T20:54:55.544Z
user178,2026-06-24T05:02:06.050Z
user179,2026-06-24T11:51:06.755Z
user180,2026-06-24T16:50:48.591Z
user181,2026-06-24T21:53:50.338Z
user182,2026-06-25T00:46:40.448Z
user183,2026-06-25T00:47:29.193Z
user184,2026-06-25T00:51:10.790Z
user185,2026-06-25T14:12:36.976Z
user186,2026-06-28T15:50:14.779Z
user187,2026-06-28T16:35:51.856Z
user188,2026-06-28T17:03:32.393Z
user189,2026-06-28T18:29:13.242Z
user190,2026-07-01T03:43:39.065Z
user191,2026-07-04T13:06:42.874Z
user192,2026-07-04T15:53:15.301Z
user193,2026-07-04T16:40:21.251Z
user194,2026-07-04T17:25:16.618Z
user195,2026-07-14T13:45:51.044Z
user196,2026-07-14T20:32:19.896Z
user197,2026-07-24T12:39:27.067Z
user198,2026-08-09T18:37:46.977Z
